"shopname","num_comments","point_comments","phone_num","cost","food_type","district_name","location","area","time","service","delivery","takeout","image"
"Katz’s Delicatessen","12637","4 star rating","(212) 254-2246","Medium","Delis、 Sandwiches、 Soup","Lower East Side","205 E Houston St","Manhattan","8:00 AM - 10:30 PM","Delivery、Takeout、Sit-down dining、Outdoor seating、In-person visits、Shipping、Mobile services","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/qr7eSU6CFwRGZ7Rc-QEoTQ/ls.jpg"
"Ippudo NY","10024","4 star rating","(212) 388-0088","Medium","Ramen","East Village","65 4th Ave","Manhattan","11:30 AM - 10:00 PM","Delivery、Takeout、Sit-down dining、Outdoor seating","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/zF3EgqHCk7zBUwD2B3WTEA/ls.jpg"
"The Halal Guys","9581","4 star rating","(347) 527-1505","Low","Food Stands、 Middle Eastern、 Halal","Theater District","W 53rd St","Manhattan","12:00 AM - 5:30 AM, 10:00 AM - 12:00 AM (Next day)","Delivery、Takeout","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/24lb-VP2zVySsY9cq45ETw/ls.jpg"
"Levain Bakery","8352","4.5 star rating","(917) 464-3769","Medium","Bakeries","Upper West Side","167 W 74th St","Manhattan","7:30 AM - 9:00 PM","Delivery、Takeout","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/jCdrXah--NjPaOLb-30BUw/ls.jpg"
"Joe’s Shanghai","6289","4 star rating","(212) 233-8888","Medium","Shanghainese、 Seafood、 Noodles","Chinatown","46 Bowery St","Manhattan","11:00 AM - 11:00 PM","Delivery、Takeout、Sit-down dining、Indoor dining","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/KRvabBPGaQikcpSD6vO2bg/ls.jpg"
"Lombardi’s Pizza","6144","4 star rating","(212) 941-7994","Medium","Pizza","Nolita","32 Spring St","Manhattan","12:00 PM - 9:00 PM","Delivery、Takeout、Curbside pickup、Indoor dining","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/UZ6V_hobp1KpYDPOHNoCKw/ls.jpg"
"Peter Luger","5868","4 star rating","(718) 387-7400","Very High","Steakhouses","Williamsburg - South Side","178 Broadway","Brooklyn","12:45 PM - 9:45 PM","Sit-down dining、Indoor dining","false","false","https://s3-media0.fl.yelpcdn.com/bphoto/cWn0RZ0qacJB04sK0Eyafw/ls.jpg"
"Eataly Flatiron","5660","4 star rating","(212) 229-2560","Medium","Italian、 Grocery、 Cafes","Flatiron","200 5th Ave","Manhattan","9:00 AM - 10:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/CnTjWyLu9nEkH6BJ9LNgTA/ls.jpg"
"Shake Shack","5606","4 star rating","(212) 889-6600","Medium","Burgers、 Food Stands、 Ice Cream & Frozen Yogurt","Flatiron","E 23rd St Madison Avenue","Manhattan","11:00 AM - 11:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/5Tnq5PlJ1wkEU5op-yolcg/ls.jpg"
"Burger & Lobster - Flatiron NYC","5477","4 star rating","(646) 833-7532","Medium","Seafood、 Burgers、 American (New)","Flatiron","39 W 19th St","Manhattan","12:45 PM - 11:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/r0TGigSI5cXeM_fWBct4SA/ls.jpg"
"LoveMama","5264","4.5 star rating","(212) 254-5370","Medium","Thai、 Malaysian、 Vietnamese","East Village","174 2nd Ave","Manhattan","11:00 AM - 10:30 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/bLlFKTlVuLfmF-lIDGIjZA/ls.jpg"
