"shopname","num_comments","point_comments","phone_num","cost","food_type","district_name","location","area","time","service","delivery","takeout"
"Havana Cafe","833","4 star rating","(718) 518-1800","Medium","Cuban、 Latin American","Schuylerville","3151 E Tremont Ave","Bronx","12:00 PM - 10:00 PM","Outdoor seating、Delivery、Takeout、Curbside pickup","true","true"
"Patricia’s","517","4 star rating","(718) 409-9069","Medium","Pizza、 Italian、 Bars","Morris Park","1082 Morris Park Ave","Bronx","12:00 PM - 11:00 PM","Sit-down dining","false","false"
"Travesias","537","4 star rating","(718) 828-3834","Medium","Latin American","Edgewater Park","3834 E Tremont Ave","Bronx","12:00 PM - 11:00 PM","Outdoor seating、Delivery、Takeout、Sit-down dining、Curbside pickup","true","true"
"F & J Pine Restaurant","562","3.5 star rating","(718) 792-5956","Medium","Italian、 Wine Bars、 Venues & Event Spaces","Van Nest","1913 Bronxdale Ave","Bronx","9:00 AM - 12:00 AM (Next day)","Delivery、Takeout、Covered outdoor seating、Heated outdoor seating","true","true"
"City Island Lobster House","614","3.5 star rating","(718) 885-1459","High","Seafood","City Island","691 Bridge St","Bronx","11:30 AM - 12:00 AM (Next day)","Outdoor seating、Delivery、Sit-down dining","true","false"
"Taqueria Tlaxcalli","645","4.5 star rating","(347) 851-3085","Medium","Mexican","Parkchester","2103 Starling Ave","Bronx","10:00 AM - 12:00 AM (Next day)","Outdoor seating、Delivery、Takeout","true","true"
"The Original Crab Shanty Restaurant","769","3.5 star rating","(718) 885-1810","Medium","Seafood、 Italian、 American (Traditional)","City Island","361 City Island Ave","Bronx","11:00 AM - 11:00 PM","Delivery、Takeout、Curbside pickup","true","true"
"Trattoria Zero Otto Nove","780","4 star rating","(718) 220-1027","Medium","Italian、 Pizza","Belmont","2357 Arthur Ave","Bronx","1:00 PM - 9:00 PM","Outdoor seating、Sit-down dining、Indoor dining","false","false"
"Made In Puerto Rico Latin Cuisine","331","3.5 star rating","(718) 684-1309","Medium","Cocktail Bars、 Puerto Rican、 Latin American","Schuylerville","3363 E Tremont Ave","Bronx","11:00 AM - 10:00 PM","Outdoor seating、Delivery、Takeout、Sit-down dining、Curbside pickup","true","true"
"Liebman’s Kosher Delicatessen","288","4 star rating","(718) 548-4534","Medium","Delis、 Kosher","Spuyten Duyvil","552 W 235th St","Bronx","11:00 AM - 9:00 PM","Delivery、Takeout、Curbside pickup","true","true"
"Dallas BBQ","251","2.5 star rating","(718) 320-8800","Medium","Barbeque、 Salad、 Seafood","Co-op City","2160 Bartow Ave","Bronx","1:00 PM - 9:00 PM","Delivery、Takeout","true","true"
"Greek Express","229","4 star rating","(718) 601-4976","Medium","Greek","Riverdale","3733 Riverdale Ave","Bronx","12:00 PM - 10:00 PM",,"false","false"
"Royal Coach Diner","203","3.5 star rating","(718) 653-1716","Medium","Diners、 American (Traditional)、 Latin American","Pelham Gardens","3260 Boston Rd","Bronx","10:00 AM - 9:00 PM","Delivery、Takeout、Curbside pickup","true","true"
"Cocina Chente","184","4 star rating","(347) 843-8081","Medium","Mexican、 Cocktail Bars","Riverdale","3535 Riverdale Ave","Bronx","12:00 PM - 1:00 AM (Next day)","Delivery、Takeout","true","true"
"Brisas Del Caribe","178","3.5 star rating","(718) 794-9710","Low","Dominican","Unionport","1207 Castle Hill Ave","Bronx","Open 24 hours",,"false","false"
"Yukka Latin Bistro","163","4 star rating","(347) 346-9338","Medium","Latin American、 Lounges","North Riverdale","5684 Riverdale Ave","Bronx","3:00 PM - 8:00 PM","Delivery、Takeout","true","true"
