,shopname,num_comments,point_comments,phone_num,cost,food_type,district_name,location,area,time,service,delivery,takeout,lat,lng
0,Havana Cafe,833,4 star rating,(718) 518-1800,Medium,Cuban、 Latin American,Schuylerville,3151 E Tremont Ave,Bronx,12:00 PM - 10:00 PM,Outdoor seating、Delivery、Takeout、Curbside pickup,True,True,40.8379,-73.83437
1,Patricia’s,517,4 star rating,(718) 409-9069,Medium,Pizza、 Italian、 Bars,Morris Park,1082 Morris Park Ave,Bronx,12:00 PM - 11:00 PM,Sit-down dining,False,False,40.8491,-73.85329
2,Travesias,537,4 star rating,(718) 828-3834,Medium,Latin American,Edgewater Park,3834 E Tremont Ave,Bronx,12:00 PM - 11:00 PM,Outdoor seating、Delivery、Takeout、Sit-down dining、Curbside pickup,True,True,33.8153,-94.548302
3,F & J Pine Restaurant,562,3.5 star rating,(718) 792-5956,Medium,Italian、 Wine Bars、 Venues & Event Spaces,Van Nest,1913 Bronxdale Ave,Bronx,9:00 AM - 12:00 AM (Next day),Delivery、Takeout、Covered outdoor seating、Heated outdoor seating,True,True,40.84888,-73.86247
4,City Island Lobster House,614,3.5 star rating,(718) 885-1459,High,Seafood,City Island,691 Bridge St,Bronx,11:30 AM - 12:00 AM (Next day),Outdoor seating、Delivery、Sit-down dining,True,False,40.8569,-73.79137
5,Taqueria Tlaxcalli,645,4.5 star rating,(347) 851-3085,Medium,Mexican,Parkchester,2103 Starling Ave,Bronx,10:00 AM - 12:00 AM (Next day),Outdoor seating、Delivery、Takeout,True,True,33.8153,-94.548302
6,The Original Crab Shanty Restaurant,769,3.5 star rating,(718) 885-1810,Medium,Seafood、 Italian、 American (Traditional),City Island,361 City Island Ave,Bronx,11:00 AM - 11:00 PM,Delivery、Takeout、Curbside pickup,True,True,40.84869,-73.78729
7,Trattoria Zero Otto Nove,780,4 star rating,(718) 220-1027,Medium,Italian、 Pizza,Belmont,2357 Arthur Ave,Bronx,1:00 PM - 9:00 PM,Outdoor seating、Sit-down dining、Indoor dining,False,False,33.8153,-94.548302
8,Made In Puerto Rico Latin Cuisine,331,3.5 star rating,(718) 684-1309,Medium,Cocktail Bars、 Puerto Rican、 Latin American,Schuylerville,3363 E Tremont Ave,Bronx,11:00 AM - 10:00 PM,Outdoor seating、Delivery、Takeout、Sit-down dining、Curbside pickup,True,True,40.83453,-73.829
9,Liebman’s Kosher Delicatessen,288,4 star rating,(718) 548-4534,Medium,Delis、 Kosher,Spuyten Duyvil,552 W 235th St,Bronx,11:00 AM - 9:00 PM,Delivery、Takeout、Curbside pickup,True,True,40.88544,-73.90979
10,Dallas BBQ,251,2.5 star rating,(718) 320-8800,Medium,Barbeque、 Salad、 Seafood,Co-op City,2160 Bartow Ave,Bronx,1:00 PM - 9:00 PM,Delivery、Takeout,True,True,40.86813,-73.82462
11,Greek Express,229,4 star rating,(718) 601-4976,Medium,Greek,Riverdale,3733 Riverdale Ave,Bronx,12:00 PM - 10:00 PM,,False,False,37.14374,-89.123427
12,Royal Coach Diner,203,3.5 star rating,(718) 653-1716,Medium,Diners、 American (Traditional)、 Latin American,Pelham Gardens,3260 Boston Rd,Bronx,10:00 AM - 9:00 PM,Delivery、Takeout、Curbside pickup,True,True,40.87257,-73.85401
13,Cocina Chente,184,4 star rating,(347) 843-8081,Medium,Mexican、 Cocktail Bars,Riverdale,3535 Riverdale Ave,Bronx,12:00 PM - 1:00 AM (Next day),Delivery、Takeout,True,True,33.8153,-94.548302
14,Brisas Del Caribe,178,3.5 star rating,(718) 794-9710,Low,Dominican,Unionport,1207 Castle Hill Ave,Bronx,Open 24 hours,,False,False,40.83212,-73.85129
15,Yukka Latin Bistro,163,4 star rating,(347) 346-9338,Medium,Latin American、 Lounges,North Riverdale,5684 Riverdale Ave,Bronx,3:00 PM - 8:00 PM,Delivery、Takeout,True,True,33.23611,-87.53808
16,Lash West Indian And American Cuisine,166,3.5 star rating,(718) 882-0815,Medium,Indian、 Caribbean、 American (Traditional),Pelham Gardens,800 Burke Ave,Bronx,12:00 AM - 12:00 AM (Next day),,False,False,33.8153,-94.548302
17,Emilio’s of Morris Park,171,4 star rating,(718) 822-6758,Medium,Pizza、 Italian、 Salad,Morris Park,1051 Morris Park Ave,Bronx,11:00 AM - 11:00 PM,Delivery、Takeout,True,True,40.84912,-73.85467
18,John & Joe’s Pizzeria,172,4 star rating,(718) 409-9776,Low,Pizza,Pelham Gardens,749 Lydig Ave,Bronx,11:00 AM - 12:00 AM (Next day),,False,False,33.8153,-94.548302
19,The Black Whale,173,3.5 star rating,(718) 885-3657,Medium,American (New)、 Diners、 Breakfast & Brunch,City Island,279 City Island Ave,Bronx,"10:00 AM - 2:00 PM, 4:00 PM - 9:00 PM",Delivery、Takeout,True,True,40.84631,-73.78638
20,Pasquale Rigoletto Restaurant,176,3.5 star rating,(718) 365-6644,Medium,Italian、 Venues & Event Spaces、 Caterers,Belmont,2311 Arthur Ave,Bronx,12:00 PM - 9:00 PM,Delivery,True,False,33.8153,-94.548302
21,DeLillo Pastry Shop,177,3.5 star rating,(718) 367-8198,Medium,Bakeries、 Coffee & Tea、 Desserts,Belmont,606 E 187th St,Bronx,8:00 AM - 9:00 PM,Outdoor seating、Delivery、Takeout,True,True,40.85539,-73.88734
22,Mexicocina,177,3.5 star rating,(347) 498-1055,Medium,Mexican,Mott Haven,503 Jackson Ave,Bronx,9:00 AM - 11:00 PM,,False,False,37.14374,-89.123427
23,Estrellita Poblana IV,178,4 star rating,(718) 239-8290,Medium,Mexican,Westchester Square,45 Westchester Sq,Bronx,6:00 AM - 10:00 PM,Delivery、Takeout,True,True,37.14374,-89.123427
24,San Gennaro Trattoria Restaurant Bar,178,4 star rating,(718) 562-0129,Medium,Italian、 Mediterranean,Belmont,2329 Arthur Ave,Bronx,11:00 AM - 9:00 PM,Outdoor seating、Delivery、Takeout,True,True,37.14374,-89.123427
25,Metate,178,3 star rating,(718) 543-4444,Medium,Mexican,Riverdale,3515 Johnson Ave,Bronx,11:00 AM - 11:00 PM,Delivery、Takeout,True,True,33.8153,-94.548302
26,El Malecon,179,3 star rating,(718) 432-4760,Medium,Latin American、 Caribbean、 Spanish,Kingsbridge,5592 Broadway,Bronx,12:00 PM - 8:00 PM,Delivery、Takeout、Curbside pickup,True,True,33.8153,-94.548302
27,Palace of Japan,180,3.5 star rating,(718) 543-8833,Medium,Japanese、 Bars、 Sushi Bars,Spuyten Duyvil,3505 Johnson Ave,Bronx,12:30 PM - 10:00 PM,Delivery、Takeout,True,True,40.88622,-73.91003
28,Olive Garden Italian Restaurant,181,2.5 star rating,(718) 931-1045,Medium,Italian、 Salad、 Soup,Co-op City,200 Baychester Ave,Bronx,11:00 AM - 10:00 PM,Outdoor seating、Delivery、Takeout、Sit-down dining、Curbside pickup,True,True,40.86431,-73.82779
29,Suyo Gastrofusion,182,4.5 star rating,(718) 537-7896,Medium,Asian Fusion、 Latin American、 Cocktail Bars,High Bridge,1401 Plaza Dr,Bronx,1:00 PM - 11:00 PM,Outdoor seating、Delivery、Takeout、Covered outdoor seating、Sit-down dining、DIY meal kits、Heated outdoor seating、Indoor dining、Curbside pickup、Private dining,True,True,33.737801,-87.252502
30,Paula’s Soul Cafe,182,3.5 star rating,(718) 655-1022,Medium,Seafood、 Soul Food,Edenwald,746 E 233rd St,Bronx,Open 24 hours,Delivery、Takeout,True,True,40.89267,-73.85567
31,Casa Della Mozzarella Italian Deli,186,5 star rating,(718) 364-3867,Medium,Delis、 Cheese Shops,Belmont,604 E 187th St,Bronx,7:30 AM - 1:00 PM,Delivery、Takeout,True,True,40.85543,-73.88743
32,Bella Notte,186,3.5 star rating,(718) 884-1666,Medium,Pizza、 Italian、 Bars,Riverdale,3524 Johnson Ave,Bronx,12:00 PM - 9:00 PM,,False,False,33.737801,-87.252502
33,Red Lobster,187,2.5 star rating,(718) 671-4223,Medium,Seafood、 American (Traditional),Co-op City,2090 Bartow Ave,Bronx,11:30 AM - 9:30 PM,Drive-thru、Delivery、Takeout、Sit-down dining、Curbside pickup,True,True,40.86886,-73.82712
34,Emilia’s Restaurant,188,3.5 star rating,(718) 367-5915,Medium,Italian,Belmont,2331 Arthur Ave,Bronx,12:00 PM - 11:00 PM,,False,False,33.8153,-94.548302
35,Applebee’s Grill + Bar,189,1.5 star rating,(718) 320-4227,Medium,American (Traditional)、 Sports Bars、 Burgers,Co-op City,2276 Bartow Ave,Bronx,9:00 AM - 11:00 PM,Delivery、Takeout,True,True,40.86924,-73.825
36,La Cocina Boricua,191,3.5 star rating,(347) 281-5375,Medium,Latin American、 Spanish、 Puerto Rican,Unionport,2245 B Westchester Ave,Bronx,1:00 PM - 10:00 PM,Takeout,False,True,44.80702,-74.42754
37,Pio Pio 4,196,3.5 star rating,(718) 401-3300,Medium,Latin American、 Peruvian,Mott Haven,264 Cypress Ave,Bronx,11:00 AM - 9:00 PM,Delivery、Takeout,True,True,33.737801,-87.252502
38,Tino’s Delicatessen,196,4 star rating,(718) 733-9879,Medium,Delis、 Cheese Shops,Belmont,2410 Arthur Ave,Bronx,6:30 AM - 7:30 PM,Delivery、Takeout、Curbside pickup,True,True,33.737801,-87.252502
39,Sangria Cafe,203,3.5 star rating,(347) 843-6486,Medium,Latin American、 Soup、 Sandwiches,Co-op City,2085 Bartow Ave,Bronx,12:00 PM - 10:00 PM,,False,False,40.86973,-73.82774
40,The Hill Bistro,207,4.5 star rating,(718) 708-7770,Medium,American (Traditional)、 Wine Bars,Riverdale,3541 Riverdale Ave,Bronx,"11:00 AM - 4:00 PM, 5:00 PM - 12:00 AM (Next day)",Outdoor seating、Delivery、Takeout、Sit-down dining,True,True,37.14374,-89.123427
41,George’s Diner & Cafe,208,4 star rating,(718) 828-1170,Low,Diners,Westchester Square,2369 Westchester Ave,Bronx,5:00 AM - 11:00 PM,Delivery、Takeout,True,True,33.8153,-94.548302
42,Bronx Drafthouse,212,4 star rating,(929) 265-9759,Medium,American (New)、 Beer Bar、 Sports Bars,Concourse Village,884 Gerard Ave,Bronx,11:30 AM - 2:00 AM (Next day),Delivery、Takeout,True,True,40.8275,-73.92491
43,Hungry Bird,213,4.5 star rating,(917) 801-4900,Medium,Indian,Concourse,980 Morris Ave,Bronx,11:00 AM - 10:30 PM,Delivery、Takeout,True,True,40.82846,-73.91669
