,shopname,num_comments,point_comments,phone_num,cost,food_type,district_name,location,area,time,service,delivery,takeout,lat,lng
0,Peter Luger,5839,4 star rating,(718) 387-7400,Very High,Steakhouses,Williamsburg - South Side,178 Broadway,Brooklyn,11:45 AM - 9:45 PM,Sit-down dining、Indoor dining,False,False,42.14351,-74.64944
1,Bogota Latin Bistro,2263,4 star rating,(718) 230-3805,Medium,Gluten-Free、 Colombian,Park Slope,141 5th Ave,Brooklyn,11:00 AM - 11:00 PM,,False,False,37.14374,-89.123427
2,Juliana’s,2282,4.5 star rating,(718) 596-6700,Medium,Pizza,DUMBO,19 Old Fulton St,Brooklyn,"12:00 PM - 3:15 PM, 4:00 PM - 8:00 PM",Outdoor seating、Delivery、Takeout、Covered outdoor seating、Sit-down dining、DIY meal kits、Heated outdoor seating、Indoor dining、Curbside pickup、Private dining,True,True,33.8153,-94.548302
3,Pies-n-Thighs,2950,4 star rating,(347) 529-6090,Medium,Southern、 Barbeque、 Breakfast & Brunch,Williamsburg - South Side,166 S 4th St,Brooklyn,11:00 AM - 10:00 PM,,False,False,40.71112,-73.96143
4,Roberta’s,2962,4 star rating,(718) 417-1118,Medium,Pizza、 Italian,East Williamsburg,261 Moore St,Brooklyn,11:00 AM - 12:00 AM (Next day),Delivery、Takeout、Sit-down dining、Indoor dining,True,True,40.70504,-73.93356
5,Sea,3143,3.5 star rating,(718) 384-8850,Medium,Thai、 Cocktail Bars,Williamsburg - North Side,114 N 6th St,Brooklyn,10:30 AM - 12:15 AM (Next day),Outdoor seating、Delivery、Takeout、Sit-down dining、Indoor dining,True,True,40.71807,-73.96002
6,Di Fara Pizza,3584,4 star rating,(718) 258-1367,Medium,Pizza,Midwood,1424 Ave J,Brooklyn,12:00 PM - 8:00 PM,Delivery、Takeout、Sit-down dining,True,True,40.66995,-73.91508
7,CAFÉ LULUc,1436,4 star rating,(718) 625-3815,Medium,French、 Breakfast & Brunch、 Cafes,Cobble Hill,214 Smith St,Brooklyn,9:00 AM - 10:00 PM,,False,False,33.8153,-94.548302
8,Brooklyn Bowl,1223,3.5 star rating,(718) 963-3369,Medium,Bowling、 American (Traditional)、 Venues & Event Spaces,Williamsburg - North Side,61 Wythe Ave,Brooklyn,6:00 PM - 12:00 AM (Next day),Delivery、Takeout、Curbside pickup,True,True,40.72205,-73.95755
9,Miti Miti,1126,4 star rating,(718) 230-3760,Medium,Latin American、 Mexican、 Breakfast & Brunch,Park Slope,138 5th Ave,Brooklyn,11:00 AM - 11:00 PM,,False,False,33.8153,-94.548302
