"shopname","num_comments","point_comments","phone_num","cost","food_type","district_name","location","area","time","service","delivery","takeout"
"Deninos Pizzeria & Tavern","756","4 star rating","(718) 442-9401","Medium","Pizza、 Italian、 Chicken Wings","Elm Park","524 Port Richmond Ave","Staten Island","11:00 AM - 11:00 PM",,"false","false"
"Miyabi Asian Fusion","359","4.5 star rating","(718) 876-8018","Medium","Sushi Bars、 Japanese、 Thai","Westerleigh","1348 Forest Ave","Staten Island","1:00 PM - 10:30 PM","Delivery、Takeout、Sit-down dining","true","true"
"Bin 5","374","4.5 star rating","(718) 448-7275","High","Italian、 Cocktail Bars","Shore Acres","1233 Bay St","Staten Island","2:00 PM - 9:00 PM","Outdoor seating、Delivery、Takeout","true","true"
"Bayou","387","4 star rating","(718) 273-4383","Medium","Cajun/Creole、 Southern、 Diners","Clifton","1072 Bay St","Staten Island","12:00 PM - 10:00 PM","Delivery、Takeout、Curbside pickup","true","true"
"The Phunky Elephant","415","3.5 star rating","(718) 448-4282","Medium","American (New)、 Gastropubs、 Cocktail Bars","Shore Acres","1271 Bay St","Staten Island","12:00 PM - 8:00 PM","Delivery、Takeout","true","true"
"Project Brunch","457","3.5 star rating","(718) 605-9866","Medium","Breakfast & Brunch","Charleston","4553 Arthur Kill Rd","Staten Island","8:00 AM - 3:00 PM","Outdoor seating、Delivery、Takeout、Sit-down dining、Curbside pickup","true","true"
"Royal Crown Bakery","468","4 star rating","(718) 987-5771","Medium","Italian、 Bakeries","Old Town","1350 Hylan Blvd","Staten Island","6:30 AM - 9:30 PM","Outdoor seating、Delivery、Indoor dining","true","false"
"Lee’s Tavern","518","4.5 star rating","(718) 667-9749","Medium","Pizza、 Pubs","Dongan Hills","60 Hancock St","Staten Island","12:00 PM - 12:30 AM (Next day)","Takeout","false","true"
"Tommy’s Tavern + Tap","308","4 star rating","(718) 489-2201","Medium","Pizza、 Bars、 American (Traditional)","Heartland Village","2655 Richmond Ave","Staten Island","11:00 AM - 10:00 PM","Delivery、Takeout","true","true"
"Maizal Restaurant","256","4 star rating","(347) 825-3776","Medium","Mexican、 Bars","Clifton","990 Bay St","Staten Island","4:00 PM - 8:00 PM","Delivery、Takeout、Curbside pickup","true","true"
"Fushimi Todt Hill","197","3.5 star rating","(718) 980-5300","Medium","Japanese、 Lounges","Grant City","2110 Richmond Rd","Staten Island","12:00 PM - 10:00 PM","Outdoor seating、Delivery、Takeout","true","true"
"East Pacific Restaurant","175","3.5 star rating","(718) 370-2225","Medium","Thai、 Pan Asian、 Japanese","Heartland Village","2655 Richmond Ave","Staten Island","11:00 AM - 9:00 PM","Unknown","false","false"
"Bocelli","157","3.5 star rating","(718) 420-6150","High","Italian","Grasmere","1250 Hylan Blvd","Staten Island","1:00 PM - 9:00 PM","Unknown","false","false"
"Genki Sushi","145","3.5 star rating","(718) 227-7375","Medium","Japanese、 Salad、 Sushi Bars","Arden Heights","262 Arden Ave","Staten Island","12:00 PM - 10:00 PM","Delivery、Takeout","true","true"
"Woodrow Diner","133","3 star rating","(718) 984-7373","Medium","Diners、 Salad、 Breakfast & Brunch","Rossville","655 Rossville Ave","Staten Island","7:00 AM - 2:00 AM (Next day)","Delivery、Takeout","true","true"
"Rinconcito Paisa","129","3.5 star rating","(718) 442-0880","Medium","Colombian、 Seafood、 Steakhouses","Graniteville","1976 Forest Ave","Staten Island","7:00 AM - 11:00 PM","Delivery、Takeout","true","true"
"Flaming Grill & Supreme Buffet","130","2.5 star rating","(718) 447-6888","Medium","Buffets、 American (Traditional)、 Chinese","Elm Park","1501 Forest Ave","Staten Island","11:00 AM - 10:00 PM","Unknown","false","false"
"Coles Dockside Restaurant","130","4 star rating","(718) 948-5588","Medium","Seafood、 Salad、 Sandwiches","Great Kills","369 Cleveland Ave","Staten Island","11:30 AM - 9:00 PM","Delivery、Takeout、Curbside pickup","true","true"
"Not Just Bagels","130","2.5 star rating","(718) 351-8870","Medium","Bagels、 Breakfast & Brunch、 Burgers","Grant City","1910 Hylan Blvd","Staten Island","5:30 AM - 5:00 PM","Unknown","false","false"
"Simple Asia","131","4.5 star rating","(718) 979-8868","Medium","Chinese、 Sushi Bars、 Ramen","New Dorp","2333 Hylan Blvd","Staten Island","11:30 AM - 9:00 PM","Delivery","true","false"
"Kuzina","131","3.5 star rating","(718) 980-4744","Medium","Mediterranean、 Greek、 Coffee & Tea","Old Town","1458 Hylan Blvd","Staten Island","12:00 PM - 9:00 PM","Delivery、Takeout","true","true"
"G-Knows Cheesesteaks","131","4 star rating","(718) 273-9016","Low","Sandwiches、 American (New)","Westerleigh","1310 Forest Ave","Staten Island","12:00 PM - 9:00 PM","Delivery、Takeout","true","true"
"Duffy’s Tavern","132","4 star rating","(718) 447-9276","Medium","Pubs、 Irish","West Brighton","650 Forest Ave","Staten Island","12:00 PM - 9:00 PM","Delivery、Takeout、Curbside pickup","true","true"
"The Richmond","132","4.5 star rating","(718) 489-8805","Unknown","Unknown","Stapleton","695 Bay St","Staten Island","12:00 PM - 6:00 PM","Outdoor seating、Delivery、Takeout、Sit-down dining、Curbside pickup","true","true"
"Ocean Sushi","134","4.5 star rating","(718) 966-6888","Medium","Sushi Bars","Annadale","20 Jefferson Blvd","Staten Island","12:00 PM - 10:30 PM","Unknown","false","false"
"99 Favor Taste","135","4.5 star rating","(718) 808-0066","Medium","Hot Pot、 Barbeque、 Buffets","New Dorp","201 New Dorp Ln","Staten Island","11:00 AM - 11:00 PM","Unknown","false","false"
"Nakata","136","3.5 star rating","(718) 980-1891","Medium","Japanese","Todt Hill","1775 D Richmond Rd","Staten Island","11:30 AM - 10:30 PM","Delivery、Takeout","true","true"
"Bario’s Restaurant","136","2.5 star rating","(718) 370-0100","Low","Pizza、 Italian","Heartland Village","446 Nome Ave","Staten Island","11:00 AM - 10:00 PM","Delivery、Takeout","true","true"
