"shopname","num_comments","point_comments","phone_num","cost","food_type","district_name","location","area","time","service","delivery","takeout"
"Katz’s Delicatessen","12588","4 star rating","(212) 254-2246","Medium","Delis、 Sandwiches、 Soup","Lower East Side","205 E Houston St","Manhattan","8:00 AM - 10:30 PM","Outdoor seating、Delivery、Takeout、Sit-down dining、In-person visits、Shipping、Mobile services","true","true"
"Clinton Street Baking Company","5145","4 star rating","(646) 602-6263","Medium","Bakeries、 Breakfast & Brunch、 American (Traditional)","Lower East Side","4 Clinton St","Manhattan","9:00 AM - 4:00 PM",,"false","false"
"LoveMama","5230","4.5 star rating","(212) 254-5370","Medium","Thai、 Malaysian、 Vietnamese","East Village","174 2nd Ave","Manhattan","11:00 AM - 10:30 PM",,"false","false"
"Burger & Lobster - Flatiron NYC","5469","4 star rating","(646) 833-7532","Medium","Seafood、 Burgers、 American (New)","Flatiron","39 W 19th St","Manhattan","12:00 PM - 8:00 PM",,"false","false"
"Shake Shack","5605","4 star rating","(212) 889-6600","Medium","Burgers、 Food Stands、 Ice Cream & Frozen Yogurt","Flatiron","E 23rd St Madison Avenue","Manhattan","11:00 AM - 10:00 PM","Delivery","true","false"
"Eataly Flatiron","5654","4 star rating","(212) 229-2560","Medium","Italian、 Grocery、 Cafes","Flatiron","200 5th Ave","Manhattan","9:00 AM - 9:00 PM",,"false","false"
"Lombardi’s Pizza","6135","4 star rating","(212) 941-7994","Medium","Pizza","Nolita","32 Spring St","Manhattan","12:00 PM - 9:00 PM","Delivery、Takeout、Indoor dining、Curbside pickup","true","true"
"Joe’s Shanghai","6278","4 star rating","(212) 233-8888","Medium","Shanghainese、 Seafood、 Noodles","Chinatown","46 Bowery St","Manhattan","11:00 AM - 11:00 PM","Delivery、Takeout、Sit-down dining、Indoor dining","true","true"
"Ippudo Westside","3708","4 star rating","(212) 974-2500","Medium","Ramen","Theater District","321 W 51st St","Manhattan","11:30 AM - 3:30 PM, 5:00 PM - 10:00 PM",,"false","false"
"Balthazar","3090","4 star rating","(212) 965-1414","High","French、 Breakfast & Brunch","SoHo","80 Spring St","Manhattan","7:30 AM - 12:00 AM (Next day)","Delivery、Takeout、Sit-down dining、Outdoor seating、Indoor dining","true","true"
"Vanessa’s Dumpling House","2671","4 star rating","(212) 625-8008","Low","Chinese","Lower East Side","118A Eldridge St","Manhattan","11:00 AM - 8:30 PM","Outdoor seating、Delivery、Takeout、Sit-down dining、Curbside pickup","true","true"
"Empanada Mama - Hell’s Kitchen","2529","4 star rating","(212) 698-9008","Low","Latin American、 Food Delivery Services、 Burgers","Hell's Kitchen","765 9th Ave","Manhattan","8:00 AM - 5:00 AM (Next day)","Outdoor seating、Delivery、Sit-down dining、Indoor dining","true","false"
"Mamoun’s Falafel","2403","4 star rating","(212) 674-8685","Low","Middle Eastern、 Falafel","Greenwich Village","119 MacDougal St","Manhattan","11:00 AM - 12:00 AM (Next day)","Outdoor seating、Delivery、Takeout、Curbside pickup","true","true"
"Minetta Tavern","2216","4 star rating","(212) 475-3850","High","French、 American (New)、 Breakfast & Brunch","Greenwich Village","113 Macdougal St","Manhattan","4:30 PM - 10:00 PM","Delivery、Takeout、Indoor dining","true","true"
"Marea","2103","4 star rating","(212) 582-5100","High","Italian、 Seafood、 Wine Bars","Midtown West","240 Central Park S","Manhattan","5:00 PM - 9:00 PM","Delivery、Takeout、Sit-down dining、Outdoor seating、Indoor dining、Heated outdoor seating、Private dining、DIY meal kits","true","true"
"Turntable Chicken Jazz","2032","4 star rating","(212) 714-9700","Medium","Chicken Wings、 Korean、 Gastropubs","Koreatown","20 W 33rd St","Manhattan","4:00 PM - 11:00 PM","Delivery、Takeout、Curbside pickup、Sit-down dining、Outdoor seating、Indoor dining、Heated outdoor seating、Covered outdoor seating、Private dining、DIY meal kits","true","true"
"The Boil","1944","4.5 star rating","(212) 925-8815","Medium","Cajun/Creole、 Seafood、 Live/Raw Food","Lower East Side","139 Chrystie St","Manhattan","4:00 PM - 10:00 PM",,"false","false"
"Bengal Tiger Indian Food","1946","4.5 star rating","(212) 265-2703","Medium","Indian","Midtown West","58 W 56th St","Manhattan","11:30 AM - 3:00 PM, 4:30 PM - 10:00 PM",,"false","false"
"Scarpetta","1949","4 star rating","(212) 691-0555","High","Italian","Flatiron","88 Madison Ave","Manhattan","5:00 PM - 10:00 PM","Delivery、Takeout、Sit-down dining、Outdoor seating、Indoor dining","true","true"
"Jack’s Wife Freda","1953","4 star rating","(212) 510-8550","Medium","Breakfast & Brunch、 Mediterranean、 American (New)","SoHo","224 Lafayette St","Manhattan","11:00 AM - 9:00 PM","Sit-down dining、Indoor dining","false","false"
"Quality Meats","1979","4 star rating","(212) 371-7777","Very High","Seafood、 Steakhouses","Midtown West","57 W 58th St","Manhattan","4:00 PM - 11:00 PM","Delivery、Takeout、Curbside pickup、Sit-down dining、Outdoor seating、Indoor dining、Heated outdoor seating、Covered outdoor seating、Private dining","true","true"
"The Smith","1982","3.5 star rating","(212) 420-9800","Medium","American (New)、 Breakfast & Brunch、 Cocktail Bars","East Village","55 3rd Ave","Manhattan","11:30 AM - 10:00 PM","Delivery、Takeout、Curbside pickup、Sit-down dining、Outdoor seating","true","true"
"Toloache 50","1991","4 star rating","(212) 581-1818","Medium","Mexican","Theater District","251 West 50th St","Manhattan","12:00 PM - 9:00 PM",,"false","false"
"Jongro BBQ","2016","4 star rating","(212) 473-2233","Medium","Korean、 Barbeque、 Beer Bar","Koreatown","22 W 32nd St","Manhattan","11:30 AM - 11:00 PM",,"false","false"
"Essex","2029","3.5 star rating","(212) 533-9616","High","Bars、 American (New)","Lower East Side","124 Rivington St","Manhattan","5:00 PM - 10:00 PM",,"false","false"
"Barn Joo 35","2031","4.5 star rating","(212) 564-4430","Medium","Korean、 Gastropubs、 Tapas/Small Plates","Midtown West","34 W 35th St","Manhattan","12:00 PM - 9:00 PM",,"false","false"
"NY Pizza Suprema","2038","4 star rating","(212) 594-8939","Low","Pizza","Chelsea","413 8th Ave","Manhattan","10:30 AM - 12:00 AM (Next day)","Delivery、Takeout","true","true"
"La Esquina - SoHo","2039","3.5 star rating","(646) 613-7100","Medium","Latin American、 Breakfast & Brunch、 Mexican","Nolita","114 Kenmare St","Manhattan","12:00 PM - 11:00 PM","Delivery、Takeout、Sit-down dining、Outdoor seating","true","true"
"Nom Wah Tea Parlor","2040","3.5 star rating","(212) 962-6047","Medium","Dim Sum","Chinatown","13 Doyers St","Manhattan","12:00 PM - 8:00 PM","Delivery、Takeout、Sit-down dining、Outdoor seating、Indoor dining","true","true"
"BCD Tofu House","2070","4 star rating","(212) 967-1900","Medium","Korean","Koreatown","5W 32nd St","Manhattan","11:00 AM - 9:00 PM",,"false","false"
"John’s of Bleecker Street","2073","4 star rating","(212) 243-1680","Medium","Pizza","West Village","278 Bleecker St","Manhattan","11:30 AM - 10:00 PM","Delivery、Takeout、Sit-down dining、Outdoor seating、Indoor dining","true","true"
"Freemans","2075","4 star rating","(212) 420-0012","Medium","Breakfast & Brunch、 Lounges、 American (Traditional)","Lower East Side","Freeman Alley","Manhattan","5:00 PM - 11:00 PM",,"false","false"
"5 Napkin Burger Hell’s Kitchen","2097","3.5 star rating","(212) 757-2277","Medium","Burgers","Midtown West","630 9th Ave","Manhattan","12:00 PM - 9:00 PM",,"false","false"
"Nyonya","2098","4 star rating","(212) 334-3669","Medium","Asian Fusion、 Malaysian、 Chinese","Little Italy","199 Grand St","Manhattan","11:00 AM - 9:00 PM","Delivery、Indoor dining、Private dining","true","false"
"Veniero’s","2100","4 star rating","(212) 674-7264","Medium","Bakeries、 Desserts、 Italian","East Village","342 E 11th St","Manhattan","8:00 AM - 10:00 PM",,"false","false"
"Cookshop","2129","4 star rating","(212) 924-4440","Medium","American (New)、 Breakfast & Brunch、 Wine Bars","Chelsea","156 10th Ave","Manhattan","12:00 PM - 10:00 PM","Delivery、Takeout、Curbside pickup、Outdoor seating、Indoor dining","true","true"
"Sushi Yasuda","2132","4 star rating","(212) 972-1001","High","Japanese","Midtown East","204 E 43rd St","Manhattan","12:00 PM - 9:00 PM","Delivery、Takeout、Outdoor seating、Indoor dining","true","true"
"Supreme Restaurant","2159","3.5 star rating","(212) 966-3988","Low","Shanghainese、 Dim Sum","Chinatown","100 Mott St","Manhattan","11:30 AM - 9:30 PM","Delivery、Takeout、Curbside pickup、Sit-down dining、Outdoor seating、Heated outdoor seating、Covered outdoor seating","true","true"
"Penelope","2176","3.5 star rating","(212) 481-3800","Medium","American (Traditional)、 Breakfast & Brunch、 American (New)","Kips Bay","159 Lexington Ave","Manhattan","9:00 AM - 9:00 PM","Sit-down dining","false","false"
"Hill Country Barbecue Market","2181","3.5 star rating","(212) 255-4544","Medium","Barbeque、 Southern、 Bars","Flatiron","30 W 26th St","Manhattan","12:00 PM - 9:00 PM","Delivery、Takeout","true","true"
"Eleven Madison Park","2189","4.5 star rating","(212) 889-0905","Very High","American (New)、 French、 Cocktail Bars","Flatiron","11 Madison Ave","Manhattan","5:30 PM - 10:00 PM","Curbside pickup、Sit-down dining、Indoor dining","false","false"
"S’MAC","2210","3.5 star rating","(212) 358-7912","Medium","American (Traditional)、 Gluten-Free、 Vegetarian","East Village","197 1st Ave","Manhattan","11:00 AM - 11:00 PM","Delivery、Takeout、Sit-down dining、Outdoor seating、Indoor dining","true","true"
"Catch NYC","2314","3.5 star rating","(212) 392-5978","High","Asian Fusion、 Sushi Bars、 Seafood","Meatpacking District","21 9th Ave","Manhattan","6:00 PM - 11:00 PM","Delivery、Takeout、Curbside pickup、Sit-down dining、Outdoor seating、Indoor dining、Heated outdoor seating、Covered outdoor seating、Private dining","true","true"
"Rubirosa","2344","4.5 star rating","(212) 965-0500","Medium","Italian、 Pizza","Nolita","235 Mulberry St","Manhattan","12:00 PM - 10:00 PM","Delivery、Takeout、Sit-down dining、Indoor dining","true","true"
"Havana Central","2346","4 star rating","(212) 398-7440","Medium","Cuban、 Latin American","Theater District","151 W 46th St","Manhattan","11:00 AM - 9:00 PM",,"false","false"
