"shopname","num_comments","point_comments","phone_num","cost","food_type","district_name","location","area","time","service","delivery","takeout"
"Nan Xiang Xiao Long Bao","3700","4 star rating","(718) 321-3838","Low","Shanghainese、 Specialty Food、 Noodles","Downtown Flushing","39-16 Prince St","Queen","9:00 AM - 10:00 PM","Outdoor seating、Delivery、Takeout、Curbside pickup","true","true"
"BKNY Thai Restaurant","1320","4 star rating","(718) 281-1900","Medium","Thai、 Seafood、 Salad","Bayside","47-11 Francis Lewis Blvd","Queen","12:00 PM - 9:00 PM",,"false","false"
"5 Burro Cafe","1400","3.5 star rating","(718) 544-2984","Medium","Mexican、 Cocktail Bars","Forest Hills","72-05 Austin St","Queen","12:00 PM - 10:00 PM",,"false","false"
"JoJu","1726","4.5 star rating","(347) 808-0887","Low","Coffee & Tea、 Vietnamese、 Sandwiches","Elmhurst","83-25 Broadway","Queen","11:00 AM - 8:00 PM",,"false","false"
"Sugar Freak","1759","4 star rating","(718) 606-1900","Medium","Cajun/Creole、 Southern、 Breakfast & Brunch","Astoria","37-11 30th Ave","Queen","11:00 AM - 10:00 PM","Delivery、Takeout、Sit-down dining、Heated outdoor seating、Indoor dining","true","true"
"Mad For Chicken","1856","4 star rating","(718) 321-3818","Medium","Korean、 Chicken Wings、 Gastropubs","Murray Hill","157-18 Northern Blvd","Queen","11:00 AM - 11:00 PM",,"false","false"
"Butcher Bar","2092","4 star rating","(718) 606-8140","Medium","Barbeque、 Burgers","Astoria","37-10 30th Ave","Queen","10:30 AM - 11:00 PM","Outdoor seating、Delivery、Takeout、Indoor dining","true","true"
"Haidilao Hotpot","1170","4.5 star rating","(917) 231-8888","Unknown",,"Downtown Flushing","138-23 39th Ave","Queen","11:30 AM - 11:00 PM",,"false","false"
"White Bear","993","4 star rating","(718) 961-2322","Low","Chinese","Downtown Flushing","135-02 Roosevelt Ave","Queen","10:00 AM - 6:00 PM","Delivery、Sit-down dining","true","false"
"Watawa Sushi","902","4 star rating","(718) 545-9596","Medium","Sushi Bars、 Japanese、 Wine Bars","Astoria","33-10 Ditmars Blvd","Queen","12:30 PM - 11:00 PM","Outdoor seating、Takeout、Indoor dining","false","true"
"Pelicana Chicken - Flushing","861","4 star rating","(718) 460-8282","Medium","Korean、 Chicken Wings、 Asian Fusion","Auburndale","41-23 162nd St","Queen","11:30 AM - 11:30 PM","Outdoor seating、Delivery、Takeout、Sit-down dining","true","true"
"The Dolar Shop","800","4.5 star rating","(718) 358-7777","High","Chinese、 Hot Pot","Downtown Flushing","36-36 Prince St","Queen","12:00 PM - 9:00 PM","Outdoor seating、Delivery、Takeout、Sit-down dining、Indoor dining、Private dining","true","true"
"The Strand Smokehouse","804","3.5 star rating","(718) 440-3231","Medium","Barbeque、 Bars","Astoria","25-27 Broadway","Queen","12:00 PM - 12:00 AM (Next day)","Delivery","true","false"
"El Patron","700","3.5 star rating","(718) 819-2121","Medium","Mexican","Auburndale","194-01 Northern Blvd","Queen","12:00 PM - 10:30 PM","Delivery","true","false"
"Unidentified Flying Chickens","678","3.5 star rating","(718) 205-6662","Medium","Korean、 Chicken Wings、 Beer Bar","Elmhurst","71-22 Roosevelt Ave","Queen","12:00 PM - 9:00 PM","Delivery、Takeout、Sit-down dining","true","true"
"Little Dumpling","660","4 star rating","(718) 225-1178","Medium","Taiwanese、 Shanghainese","Douglaston","252-20 Northern Blvd","Queen","10:30 AM - 10:00 PM","Delivery、Takeout、Indoor dining","true","true"
"Umi Sushi","662","4.5 star rating","(718) 969-5668","Medium","Japanese、 Sushi Bars","Hillcrest","177-13 Union Tpke","Queen","1:45 PM - 8:00 PM","Delivery、Takeout、Indoor dining、Curbside pickup","true","true"
"Milkflower","664","4 star rating","(718) 204-1300","Medium","Pizza","Astoria","3412 31st Ave","Queen","12:00 PM - 9:00 PM","Delivery、Takeout","true","true"
"Luigi’s Restaurant & Bar","673","4 star rating","(718) 347-7136","Medium","Italian","Floral Park","265-21 Union Tpke","Queen","12:00 PM - 10:00 PM","Outdoor seating、Delivery、Takeout、Covered outdoor seating、Sit-down dining、Heated outdoor seating、Indoor dining、Curbside pickup、Private dining","true","true"
"Krave It Sandwich Shop & Eatery","674","4 star rating","(347) 836-8713","Medium","Sandwiches、 Pizza、 Chicken Wings","Bayside","40-15 Bell Blvd","Queen","11:00 AM - 11:00 PM","Delivery、Takeout、Curbside pickup","true","true"
"Tacuba","674","4 star rating","(718) 786-2727","Medium","Mexican、 Latin American、 Cocktail Bars","Astoria","35-01 36th St","Queen","12:00 PM - 10:00 PM","Delivery、Takeout","true","true"
"Utopia Bagels","675","4.5 star rating","(718) 352-2586","Low","Bakeries、 Bagels、 Sandwiches","Bay Terrace","1909 Utopia Pkwy","Queen","4:00 AM - 6:00 PM","Outdoor seating、Delivery、Takeout","true","true"
"Jora Restaurant & Bar","675","4.5 star rating","(718) 392-2033","Medium","Peruvian、 Cocktail Bars、 Chicken Wings","Hunters Point","47-46 11th St","Queen","12:30 PM - 10:00 PM",,"false","false"
"Tang Restaurant","675","4 star rating","(718) 279-7080","Medium","Sushi Bars、 Korean、 Chinese","Auburndale","196-50 Northern Blvd","Queen","11:00 AM - 11:30 PM","Outdoor seating、Delivery、Takeout、Sit-down dining、Heated outdoor seating、Indoor dining、Curbside pickup","true","true"
