,shopname,num_comments,point_comments,phone_num,cost,food_type,district_name,location,area,time,service,delivery,takeout,lat,lng
0,Nan Xiang Xiao Long Bao,3700,4 star rating,(718) 321-3838,Low,Shanghainese、 Specialty Food、 Noodles,Downtown Flushing,39-16 Prince St,Queen,9:00 AM - 10:00 PM,Outdoor seating、Delivery、Takeout、Curbside pickup,True,True,40.75924,-73.83256
1,BKNY Thai Restaurant,1320,4 star rating,(718) 281-1900,Medium,Thai、 Seafood、 Salad,Bayside,47-11 Francis Lewis Blvd,Queen,12:00 PM - 9:00 PM,,False,False,37.14374,-89.123427
2,5 Burro Cafe,1400,3.5 star rating,(718) 544-2984,Medium,Mexican、 Cocktail Bars,Forest Hills,72-05 Austin St,Queen,12:00 PM - 10:00 PM,,False,False,30.39681,-97.7249
3,JoJu,1726,4.5 star rating,(347) 808-0887,Low,Coffee & Tea、 Vietnamese、 Sandwiches,Elmhurst,83-25 Broadway,Queen,11:00 AM - 8:00 PM,,False,False,40.77902,-73.56108
4,Sugar Freak,1759,4 star rating,(718) 606-1900,Medium,Cajun/Creole、 Southern、 Breakfast & Brunch,Astoria,37-11 30th Ave,Queen,11:00 AM - 10:00 PM,Delivery、Takeout、Sit-down dining、Heated outdoor seating、Indoor dining,True,True,40.76465,-73.91597
5,Mad For Chicken,1856,4 star rating,(718) 321-3818,Medium,Korean、 Chicken Wings、 Gastropubs,Murray Hill,157-18 Northern Blvd,Queen,11:00 AM - 11:00 PM,,False,False,37.14374,-89.123427
6,Butcher Bar,2092,4 star rating,(718) 606-8140,Medium,Barbeque、 Burgers,Astoria,37-10 30th Ave,Queen,10:30 AM - 11:00 PM,Outdoor seating、Delivery、Takeout、Indoor dining,True,True,40.76425,-73.91644
7,Haidilao Hotpot,1170,4.5 star rating,(917) 231-8888,Unknown,,Downtown Flushing,138-23 39th Ave,Queen,11:30 AM - 11:00 PM,,False,False,40.76111,-73.8269
8,White Bear,993,4 star rating,(718) 961-2322,Low,Chinese,Downtown Flushing,135-02 Roosevelt Ave,Queen,10:00 AM - 6:00 PM,Delivery、Sit-down dining,True,False,43.08578,-75.27124
9,Watawa Sushi,902,4 star rating,(718) 545-9596,Medium,Sushi Bars、 Japanese、 Wine Bars,Astoria,33-10 Ditmars Blvd,Queen,12:30 PM - 11:00 PM,Outdoor seating、Takeout、Indoor dining,False,True,40.77495,-73.9095
10,Pelicana Chicken - Flushing,861,4 star rating,(718) 460-8282,Medium,Korean、 Chicken Wings、 Asian Fusion,Auburndale,41-23 162nd St,Queen,11:30 AM - 11:30 PM,Outdoor seating、Delivery、Takeout、Sit-down dining,True,True,42.45308,-75.06403
11,The Dolar Shop,800,4.5 star rating,(718) 358-7777,High,Chinese、 Hot Pot,Downtown Flushing,36-36 Prince St,Queen,12:00 PM - 9:00 PM,Outdoor seating、Delivery、Takeout、Sit-down dining、Indoor dining、Private dining,True,True,40.76145,-73.83295
12,The Strand Smokehouse,804,3.5 star rating,(718) 440-3231,Medium,Barbeque、 Bars,Astoria,25-27 Broadway,Queen,12:00 PM - 12:00 AM (Next day),Delivery,True,False,40.65246,-73.95828
13,El Patron,700,3.5 star rating,(718) 819-2121,Medium,Mexican,Auburndale,194-01 Northern Blvd,Queen,12:00 PM - 10:30 PM,Delivery,True,False,40.11293,-75.34279
14,Unidentified Flying Chickens,678,3.5 star rating,(718) 205-6662,Medium,Korean、 Chicken Wings、 Beer Bar,Elmhurst,71-22 Roosevelt Ave,Queen,12:00 PM - 9:00 PM,Delivery、Takeout、Sit-down dining,True,True,40.74637,-73.89401
15,Little Dumpling,660,4 star rating,(718) 225-1178,Medium,Taiwanese、 Shanghainese,Douglaston,252-20 Northern Blvd,Queen,10:30 AM - 10:00 PM,Delivery、Takeout、Indoor dining,True,True,37.14374,-89.123427
16,Umi Sushi,662,4.5 star rating,(718) 969-5668,Medium,Japanese、 Sushi Bars,Hillcrest,177-13 Union Tpke,Queen,1:45 PM - 8:00 PM,Delivery、Takeout、Indoor dining、Curbside pickup,True,True,42.12651,-76.06037
17,Milkflower,664,4 star rating,(718) 204-1300,Medium,Pizza,Astoria,3412 31st Ave,Queen,12:00 PM - 9:00 PM,Delivery、Takeout,True,True,40.76283,-73.92078
18,Luigi’s Restaurant & Bar,673,4 star rating,(718) 347-7136,Medium,Italian,Floral Park,265-21 Union Tpke,Queen,12:00 PM - 10:00 PM,Outdoor seating、Delivery、Takeout、Covered outdoor seating、Sit-down dining、Heated outdoor seating、Indoor dining、Curbside pickup、Private dining,True,True,40.74918,-73.70827
19,Krave It Sandwich Shop & Eatery,674,4 star rating,(347) 836-8713,Medium,Sandwiches、 Pizza、 Chicken Wings,Bayside,40-15 Bell Blvd,Queen,11:00 AM - 11:00 PM,Delivery、Takeout、Curbside pickup,True,True,37.14374,-89.123427
20,Tacuba,674,4 star rating,(718) 786-2727,Medium,Mexican、 Latin American、 Cocktail Bars,Astoria,35-01 36th St,Queen,12:00 PM - 10:00 PM,Delivery、Takeout,True,True,40.75507,-73.92611
21,Utopia Bagels,675,4.5 star rating,(718) 352-2586,Low,Bakeries、 Bagels、 Sandwiches,Bay Terrace,1909 Utopia Pkwy,Queen,4:00 AM - 6:00 PM,Outdoor seating、Delivery、Takeout,True,True,33.8153,-94.548302
22,Jora Restaurant & Bar,675,4.5 star rating,(718) 392-2033,Medium,Peruvian、 Cocktail Bars、 Chicken Wings,Hunters Point,47-46 11th St,Queen,12:30 PM - 10:00 PM,,False,False,33.8153,-94.548302
23,Tang Restaurant,675,4 star rating,(718) 279-7080,Medium,Sushi Bars、 Korean、 Chinese,Auburndale,196-50 Northern Blvd,Queen,11:00 AM - 11:30 PM,Outdoor seating、Delivery、Takeout、Sit-down dining、Heated outdoor seating、Indoor dining、Curbside pickup,True,True,42.82637,-73.96111
24,Georgia Diner,683,3 star rating,(718) 651-9000,Medium,Diners、 Breakfast & Brunch,Elmhurst,80-26 Queens Blvd,Queen,8:00 AM - 10:00 PM,,False,False,33.8153,-94.548302
25,Blend Astoria,687,3.5 star rating,(718) 606-6383,Medium,Latin American、 Tapas/Small Plates、 Cocktail Bars,Astoria,37-17 30th Ave,Queen,11:00 AM - 11:00 PM,Outdoor seating、Takeout、Sit-down dining,False,True,40.76455,-73.91575
26,Burger Club,690,4 star rating,(718) 777-7788,Medium,Burgers、 Desserts、 Salad,Astoria,32-02 30th Ave,Queen,11:30 AM - 9:00 PM,Outdoor seating、Delivery、Takeout、Sit-down dining、Indoor dining,True,True,40.76626,-73.92063
27,The Cheesecake Factory,691,2.5 star rating,(718) 699-1212,Medium,Desserts、 American (Traditional),Elmhurst,90-15 Queens Blvd,Queen,10:00 AM - 10:00 PM,,False,False,33.8153,-94.548302
28,Cafe Bench,694,3.5 star rating,(718) 224-0703,Medium,Cafes,Auburndale,194-07 Northern Blvd,Queen,10:00 AM - 12:00 AM (Next day),Outdoor seating、Delivery、Takeout、Sit-down dining,True,True,41.90321,-87.94043
29,Vesta,696,4 star rating,(718) 545-5550,Medium,Italian、 Wine Bars,Astoria,21-02 30th Ave,Queen,"11:00 AM - 3:00 PM, 4:30 PM - 10:00 PM",Delivery、Takeout,True,True,40.76961,-73.92775
