,shopname,district_name,location,lat,lng
0,Noodle Village,Chinatown,13 Mott St,40.71411,-73.99899
1,Love Pho,East Village,174 2AVENUE,40.54307,-74.16931
2,Anār,Manhattan Valley,933 Amsterdam Ave,42.954,-74.18232
3,Chow House,Greenwich Village,181 Bleecker St,40.72915,-74.00072
4,Crab House All You Can Eat Seafood,Midtown East,135 E 55th St,33.8153,-94.548302
5,Sin City Burger,Upper East Side,311 E 76th St,40.77126,-73.95551
6,Olio e Piú,West Village,3 Greenwich Ave,40.73387,-73.99984
7,Colonie,Brooklyn Heights,127 Atlantic Ave,33.737801,-87.252502
8,BondST,NoHo,6 Bond St,40.72702,-73.99436
9,Las Santas,Fort Greene,572 Fulton St,40.68814,-73.97969
10,Chu-Ros Thai,East Harlem,1590 Lexington Ave,40.78928,-73.94874
11,Kogane Ramen-Brooklyn Heights,Brooklyn Heights,76 Henry St,33.8153,-94.548302
12,RH Rooftop Restaurant New York,Meatpacking District,9 9th Ave,40.73986,-74.00639
13,Clover Hill,Brooklyn Heights,20 Columbia Pl,40.69315,-73.99871
14,Juanchi’s Burger,Williamsburg - South Side,225 S 1st St,40.71301,-73.95886
15,Hook & Reel Cajun Seafood & Bar,Downtown Brooklyn,430 Albee Square W,40.69079,-73.98378
16,Top Thai 55 - Carmine,West Village,55 Carmine St,40.7299,-74.0042
17,Rabbithole Restaurant,Williamsburg - South Side,352 Bedford Ave,41.19833,-73.69835
18,Excuse My French,Lower East Side,96 Orchard St,40.71844,-73.98979
19,Mista Oh,Flatiron,41 W 24th St,33.8153,-94.548302
20,The Burgary,Lower East Side,67 Clinton St,40.71943,-73.98508
21,Evelina,Fort Greene,211 Dekalb Ave,40.68973,-73.97101
22,Kopitiam,Lower East Side,151 E Broadway,40.71377,-73.99092
23,Juicy King Crab Express,Lower East Side,213 East Broadway,40.71404,-73.98755
24,Boucherie West Village,West Village,99 7th Ave S,37.14374,-89.123427
25,MOKYO,Unknown,109 St Marks Pl,40.68145,-73.97845
26,Spicy Village,Lower East Side,68 Forsyth St,40.71695,-73.99324
27,R17,South Street Seaport,89 S St,42.71638,-78.0048
28,Soothr,East Village,204 E 13th St,40.73225,-73.98738
29,White Oak Tavern,Greenwich Village,21 Waverly Pl,40.73036,-73.99462
30,Ootoya Chelsea,Flatiron,8 W 18th St,33.737801,-87.252502
31,Usagi NY,DUMBO,163 Plymouth St,40.70382,-73.98691
32,Endswell Bar & Bistro,Unknown,773 Fulton St,33.8153,-94.548302
33,Misi,Williamsburg - South Side,329 Kent Ave,42.44468,-75.0463
34,Madre,Greenpoint,214 Franklin St,40.73307,-73.95784
35,Les Enfants de Boheme,Lower East Side,177 Henry St,40.71357,-73.98861
36,Francie,South Williamsburg,134 Broadway,40.70328,-73.95974
37,Bar Bruno,Carroll Gardens,520 Henry St,40.68342,-74.00001
38,Pylos,East Village,128 E 7th St,40.72608,-73.98415
39,Frangos Peri Peri,East Village,182 Avenue B,33.737801,-87.252502
40,Dante,Greenwich Village,79-81 Macdougal St,40.72885,-74.00179
41,Douska,Lower East Side,63 Delancey St,40.7192,-73.99082
42,Paulie Gee’s,Greenpoint,60 Greenpoint Ave,40.72954,-73.95857
43,Bar Verde,East Village,65 2nd Ave,34.52193,-86.25176
44,CAFÉ LULUc,Cobble Hill,214 Smith St,33.737801,-87.252502
45,Zyara NY,Lower East Side,57 Clinton St,40.71964,-73.98507
46,Da Claudio,Financial District,21 Ann St,40.71087,-74.00753
47,Eleni’s,Gramercy,226 3rd Ave,40.7366,-73.98509
48,Ippudo NY,East Village,65 4th Ave,40.73092,-73.99017
49,The River Café,DUMBO,1 Water St,40.62745,-74.07467
50,Dian Kitchen,East Village,435 E 9th St,40.72768,-73.98324
51,Los Tacos No.1,Unknown,75 9th Ave,40.57161,-74.11665
52,Aurora,Williamsburg - South Side,70 Grand St,41.69143,-73.90761
53,DOMODOMO - New York,Greenwich Village,140 W Houston St,40.72803,-74.00166
54,Luke’s Lobster Brooklyn Bridge Park,DUMBO,11 Water St,40.70349,-73.99412
55,Boka,Chinatown,23 Pell St,40.71473,-73.99828
56,East Village Pizza,East Village,145 1st Ave,33.8153,-94.548302
57,Fong On,Chinatown,81 Division St,40.71414,-73.99369
58,Sweet Chick,Lower East Side,178 Ludlow St,40.72174,-73.98739
59,Buvette,West Village,42 Grove St,40.73259,-74.0043
60,Raku,East Village,342 E 6th St,40.72651,-73.98666
61,Root & Bone,Alphabet City,200 E 3rd St,40.72263,-73.98298
62,Jacob’s Pickles Time Out Market,DUMBO,55 Water St,40.70319,-74.00915
63,The Wild Son,East Village,132 First Ave,40.72738,-73.98513
64,Casa Birria NYC,Unknown,86th & 3rd Ave,40.67857,-73.99859
65,Upstate Craft Beer & Oyster Bar,East Village,95 1st Ave,33.737801,-87.252502
66,Butler,Unknown,40 Water St,40.70351,-74.01024
67,Ruby’s Cafe,East Village,198 E 11th St,40.73129,-73.98864
68,Freemans,Lower East Side,Freeman Alley,40.72168,-73.99259
69,5ive Spice,Nolita,227 Mulberry St,40.72246,-73.99618
70,Rosie’s,East Village,29 E 2nd St,40.72491,-73.99078
71,Breakroom,Chinatown,83 Baxter St,40.71662,-73.99959
72,Salt + Charcoal,Williamsburg - South Side,171 Grand St,42.5101,-74.98335
73,Paesano of Mulberry Street,Little Italy,136 Mulberry St,40.71844,-73.99738
74,Thursday Kitchen,Unknown,424 E 9th St,33.8153,-94.548302
75,Cecconi’s Dumbo,DUMBO,55 Water St,40.70319,-74.00915
76,Amélie,Greenwich Village,22 W 8th St,40.73266,-73.99767
77,The Osprey,Unknown,60 Furman St,40.70224,-73.99554
78,Celestine,DUMBO,1 John St,40.70463,-73.98783
79,1803,TriBeCa,82 Reade St,40.71531,-74.00717
80,The Cabin NYC,East Village,205 E 4th St,40.72403,-73.98375
81,La Contenta,Lower East Side,102 Norfolk St,40.71872,-73.98689
82,Kong Sihk Tong 港食堂,Chinatown,65 Bayard St,40.7153,-73.99819
83,Benemon,East Village,108 E 4th St,40.72551,-73.98838
84,Pro Thai,East Harlem,1575 Lexington Ave,40.78882,-73.94844
85,Oxomoco,Greenpoint,128 Greenpoint Ave,40.72984,-73.95548
86,Win Son,East Williamsburg,159 Graham Ave,36.59247,-84.12257
87,Boqueria Soho,South Village,171 Spring St,42.69367,-74.94398
88,City Vineyard,Unknown,233 West St,33.8153,-94.548302
89,BoCaphe,SoHo,222 Lafayette St,40.63937,-74.09438
90,Cafe Habana,Nolita,17 Prince St,40.54699,-74.21972
91,Tasty Hand-Pulled Noodles,Chinatown,1 Doyers St,40.71422,-73.99786
92,Sweetwater Restaurant,Williamsburg - North Side,105 N 6th St,40.71856,-73.95988
93,Nyonya,Little Italy,199 Grand St,40.71433,-73.96021
94,Thai Villa,Flatiron,5 E 19th St,37.14374,-89.123427
95,Gelso & Grand,Little Italy,186 Grand St,40.71956,-73.99733
96,AlMar,DUMBO,111 Front St,37.14374,-89.123427
97,Joe’s Shanghai,Chinatown,46 Bowery St,40.7158,-73.99696
98,Wah Fung No 1,Lower East Side,79 Chrystie St,40.71735,-73.99457
99,Juliana’s Pizza,DUMBO,19 Old Fulton St,33.737801,-87.252502
100,Jack’s Wife Freda,SoHo,224 Lafayette St,40.72213,-73.99756
101,Rubirosa,Nolita,235 Mulberry St,40.72275,-73.99625
102,Sunday in Brooklyn,Williamsburg - South Side,348 Wythe Ave,42.44461,-75.04623
103,LoveMama,East Village,174 2nd Ave,40.73037,-73.98598
104,Fishmarket Restaurant,South Street Seaport,111 South St,42.71538,-78.00673
105,The Binc,Brooklyn Heights,60 Henry St,33.8153,-94.548302
106,Evil Katsu,Lower East Side,101 Rivington St,40.71985,-73.98831
107,Seamore’s,DUMBO,66 Water St,40.7032,-73.99145
108,Gran Electrica,DUMBO,5 Front St,40.70275,-73.99316
109,Sushi Lab Rooftop NYC,Theater District,132 West 47th St,40.7584,-73.98329
110,Lillo Cucina Italiana,Cobble Hill,331 Henry St,33.8153,-94.548302
111,Bogota Latin Bistro,Park Slope,141 5th Ave,37.14374,-89.123427
112,Kaikagetsu NYC,Lower East Side,162 Orchard St,40.72105,-73.98847
113,Silver Factory,Williamsburg - South Side,270 South 5th St,40.70924,-73.95858
114,Le Crocodile,Williamsburg - North Side,80 Wythe Ave,40.72198,-73.95793
115,Ugly Baby,Carroll Gardens,407 Smith St,40.67794,-73.99601
116,Wayan,Nolita,20 Spring St,40.60318,-74.0938
117,Lilia,Williamsburg - North Side,567 Union Ave,42.08647,-78.43007
118,Ume Williamsburg,Williamsburg - North Side,237 Kent Ave,41.47019,-73.66406
119,hanon,Williamsburg - North Side,436 Union Ave,42.08282,-78.42983
120,Coco Bistro,South Street Seaport,233-235 Front St,40.70787,-83.84219
121,The Hideaway Seaport,South Street Seaport,22 Peck Slip,41.20685,-73.97495
122,Hay Hay Roasted,Chinatown,81 Mott St,40.71659,-73.99814
123,Wok Wok Southeast Asian Kitchen,Chinatown,11 Mott St,40.71403,-73.99898
124,3 Times 茅庐,Lower East Side,90 Clinton St,40.71827,-73.98521
125,The Four Horsemen,Williamsburg - South Side,295 Grand St,40.71739,-73.99208
126,Miss Ada,Fort Greene,184 Dekalb Ave,40.6894,-73.9724
